Sample,Population code,Superpopulation name,Population name,pc1_global,pc2_global,tsne1,tsne2,pc1_aims,pc2_aims,pc1_eur,pc2_eur,pc1_afr,pc2_afr,pc3_afr
NA18992,JPT,East Asian Ancestry,Japanese,-6.065494392403947,-5.096581161626966,-3.1906343,-26.157759,-2.1233973259658425,-1.7613044915749203,,,,,
NA18994,JPT,East Asian Ancestry,Japanese,-6.155224070025859,-4.662173505968478,-4.3468266,-24.285328,-2.1089025809992847,-1.1830431741818779,,,,,
NA18995,JPT,East Asian Ancestry,Japanese,-7.000117347469073,-4.707500364527621,-8.218804,-25.759272,-3.728929748145875,-1.5761074237128874,,,,,
NA18998,JPT,East Asian Ancestry,Japanese,-6.532317275686571,-3.262608213248561,-13.120016,-22.555092,-3.6467951425704905,-1.65331530151634,,,,,
NA18999,JPT,East Asian Ancestry,Japanese,-7.622554155364915,-4.582799418224536,-10.225278,-25.788317,-2.986374013900149,-1.6757667345866252,,,,,
NA19000,JPT,East Asian Ancestry,Japanese,-5.800431813640259,-4.76352610728654,-7.0676565,-21.656916,-2.364391082758437,-1.2081751949273518,,,,,
NA19002,JPT,East Asian Ancestry,Japanese,-7.357268936756075,-5.2863631057848215,-4.439174,-25.789568,-3.2046017488965584,-2.0271251295922044,,,,,
NA19003,JPT,East Asian Ancestry,Japanese,-6.358717732030154,-3.945754626912973,-12.173049,-23.691595,-2.936939403172082,-1.2721919644815292,,,,,
NA19004,JPT,East Asian Ancestry,Japanese,-5.562255198513517,-4.660591885873674,-11.865267,-25.863699,-2.27242369922462,-1.4190085839310038,,,,,
NA19005,JPT,East Asian Ancestry,Japanese,-6.89681385712213,-5.625695985625348,-11.150252,-22.51133,-3.5374676751047307,-2.546371916758404,,,,,
NA19007,JPT,East Asian Ancestry,Japanese,-6.811250501230452,-5.690597417614856,-14.870221,-24.794563,-3.5403819436622506,-3.2824025281078786,,,,,
NA19009,JPT,East Asian Ancestry,Japanese,-6.236290878272456,-5.5711552941913345,-4.0009313,-27.6622,-2.641062624382709,-2.143542559842531,,,,,
NA19010,JPT,East Asian Ancestry,Japanese,-6.816488314875606,-6.000092226348124,-7.8785634,-28.140923,-2.9331353060755854,-1.3044534908975858,,,,,
NA19012,JPT,East Asian Ancestry,Japanese,-5.874800392295535,-6.003403709243954,-13.685461,-27.199944,-2.005746470236274,-2.9874812770672854,,,,,
NA19020,LWK,African Ancestry,Luhya,8.718341380785287,-2.8795699932368377,19.453773,-6.52306,5.393085331926375,-0.8705933852982284,,,-1.405020390276518,0.9939341537192041,-1.788051082254119
NA19028,LWK,African Ancestry,Luhya,8.68770653578506,-2.427882169936381,17.347782,2.9809225,3.711259103725687,-0.7175456763721475,,,-1.278860438478093,1.0294228262751468,-0.16712761656674285
NA19035,LWK,African Ancestry,Luhya,9.193486456450469,-3.6068568120539295,19.425259,-2.4720721,5.09329415821323,-1.3719299634577342,,,0.17119617569285236,1.7650343988221109,0.07441868311321786
NA19036,LWK,African Ancestry,Luhya,9.768298186997677,-3.096751372704298,21.979166,-4.534018,4.198777380089413,0.009113520159011568,,,-0.3315379366817231,2.7864800886570933,2.5163050306640398
NA19038,LWK,African Ancestry,Luhya,8.965474692566849,-3.682490724710612,20.101168,3.3962634,3.898720520582942,-1.418390499124739,,,0.4645738392988422,-0.9695654585059897,1.188362774140389
NA19041,LWK,African Ancestry,Luhya,9.780837417085893,-2.366610075275914,19.82383,-2.0402672,5.214194221743752,-1.528140300783996,,,0.0010112280849476063,2.555930339384761,-1.3935990935534672
NA19044,LWK,African Ancestry,Luhya,9.132912210269595,-2.6287435259700613,16.655012,-2.0682168,3.9651705560723345,0.06160841871166678,,,-0.2139477578394755,0.7660662551746777,0.20987490022951705
NA19046,LWK,African Ancestry,Luhya,9.959926276923266,-3.070662370109754,22.391209,-6.58303,4.02516054371779,-0.8074989202167111,,,-0.08247268550044057,3.0967708388405906,-1.844607483105982
NA19054,JPT,East Asian Ancestry,Japanese,-7.1052435233076725,-5.285241128004151,-11.948529,-25.011757,-2.686235459313073,-1.1626158348367985,,,,,
NA19055,JPT,East Asian Ancestry,Japanese,-6.217330914154347,-6.314425271106871,-5.2793345,-32.11858,-2.2303562428645156,-2.993981658803439,,,,,
