Sample,Population code,Superpopulation name,Population name,pc1_global,pc2_global,tsne1,tsne2,pc1_aims,pc2_aims,pc1_eur,pc2_eur,pc1_afr,pc2_afr,pc3_afr
NA19473,LWK,African Ancestry,Luhya,10.202738652640166,-3.846104385346675,17.072754,-2.1962235,5.077599739521859,-0.36910852570670816,,,0.6534939506838391,0.22995978415413826,0.060925904453919225
NA19474,LWK,African Ancestry,Luhya,7.602146785238282,-3.1094955506395197,19.964642,-0.8821287,3.3901983417748935,-0.23428470865886997,,,-1.2373324763254483,-0.9439231413185076,-0.7256255456485625
NA19625,ASW,African Ancestry,African Ancestry SW,4.5570785858279095,1.5292861709464116,-2.219144,-4.1729097,2.6736670221472094,0.31322063115776366,,,-7.621509466269221,-0.38442137133365034,2.4778988439746827
NA19648,MXL,American Ancestry,Mexican Ancestry,-2.0149832843894373,5.400701633159205,-6.92036,16.347301,-0.23749798681005846,0.9277159954724268,,,,,
NA19651,MXL,American Ancestry,Mexican Ancestry,-2.50837834263137,4.055540881248742,-5.9807315,0.28692922,-1.5475499339359704,1.15011836891198,,,,,
NA19652,MXL,American Ancestry,Mexican Ancestry,-1.7974312635257088,3.6851965589740616,-3.2345703,1.9445475,-1.2238405132987502,1.158401131700069,,,,,
NA19654,MXL,American Ancestry,Mexican Ancestry,-1.8473830382030592,1.5047198486908506,-4.12953,2.3958688,-1.8019402477819957,0.49204788013881506,,,,,
NA19655,MXL,American Ancestry,Mexican Ancestry,-2.8579668847855757,1.1557765691935025,-5.38064,0.59993905,-0.6859211335391712,-1.2432438620162922,,,,,
NA19657,MXL,American Ancestry,Mexican Ancestry,-3.1892034899643074,1.1379320854580257,-3.8435216,-0.9328433,-0.9474983189595325,-0.6492729568257944,,,,,
NA19660,MXL,American Ancestry,Mexican Ancestry,-2.407726432715039,0.9228030388263688,-1.4286089,-2.4630697,-1.514232295814102,-0.5329657235309924,,,,,
NA19661,MXL,American Ancestry,Mexican Ancestry,-2.58642320995636,1.923191384882224,-2.3789718,-2.3880782,-0.9338665289897661,1.1779299992136043,,,,,
NA19663,MXL,American Ancestry,Mexican Ancestry,-2.4734204445692978,0.8589345929636663,-5.6574335,-0.24218087,-0.8372182300297326,-1.240487627724086,,,,,
NA19664,MXL,American Ancestry,Mexican Ancestry,-2.0032758899310164,2.046037457235491,-0.7173256,-0.03540281,-0.9978903579491926,0.9931503249128195,,,,,
NA19672,MXL,American Ancestry,Mexican Ancestry,-2.727804406634157,1.888921965298711,-1.3558589,-2.3688533,-1.1860574275902418,0.44943586991673157,,,,,
NA19675,MXL,American Ancestry,Mexican Ancestry,-0.7357616798441287,2.2172986545960405,-10.601886,8.474352,-0.9216948680000122,-0.2530317619537614,,,,,
NA19676,MXL,American Ancestry,Mexican Ancestry,-1.4574578494421573,2.758510085706574,1.0404551,2.7269518,-1.014498432420015,1.207521159820783,,,,,
NA19678,MXL,American Ancestry,Mexican Ancestry,-1.667394782873835,2.476356445827005,-10.560089,8.549859,-1.0600514578888587,0.47283089905731757,,,,,
NA19679,MXL,American Ancestry,Mexican Ancestry,-0.5422297987926649,3.038622968269504,-10.64426,8.438574,-1.046862085728204,0.3620363863211318,,,,,
NA19681,MXL,American Ancestry,Mexican Ancestry,-4.076463709085234,-0.34085818709659055,-1.472119,-0.5381273,-2.583842744014447,-0.5316489327253087,,,,,
NA19682,MXL,American Ancestry,Mexican Ancestry,-1.9303050395345442,1.1262209640735765,-4.9003415,0.34413284,0.04673047268453623,0.1699581549282736,,,,,
NA19684,MXL,American Ancestry,Mexican Ancestry,-0.913760375554207,2.9833870003761205,-5.164569,0.8827121,-0.7808278997257703,0.12273043110518222,,,,,
